que	114973
per	75863
est	70744
ent	55701
res	35318
aqu	33433
una	33357
sta	32574
ant	29862
com	29654
què	28969
els	28042
men	27902
tre	27726
aix	25906
amb	25356
ues	24447
les	24368
ens	23669
par	22033
ell	21624
tat	21529
ara	20620
ten	20026
ser	19988
sen	19187
con	19178
tot	18678
era	18677
des	18365
tar	18275
del	18199
eix	18120
ass	18031
ort	17926
més	17487
pre	17370
lla	17231
ixò	17146
tra	16293
ria	16276
ada	16092
ssa	16010
eva	15738
ona	15637
ita	15467
sti	15278
esp	15002
olt	14802
erò	14752
tan	14737
osa	14666
vol	14606
pro	13813
str	13723
car	13694
stà	13671
ran	13666
ost	13645
ies	13609
qui	13594
alt	13583
are	13354
tes	12999
nar	12944
all	12849
qua	12802
fer	12753
aig	12560
ome	12438
ica	12246
mol	12141
egu	12136
ava	12058
gui	12053
ons	12007
nte	11952
ina	11915
man	11894
ure	11881
ssi	11844
cos	11753
cor	11737
tin	11631
quí	11525
ots	11377
don	11364
eri	11285
ció	11263
por	11219
ver	11129
pas	11078
lar	10979
tor	10865
rec	10849
eni	10842
ing	10777
ter	10756
pot	10723
nta	10703
aci	10668
ess	10577
ill	10574
ord	10553
uan	10490
meu	10488
cre	10366
ist	10340
ame	10322
vai	10244
ana	10193
seg	10059
enc	10041
pod	10000
gra	9998
mat	9970
rta	9877
esc	9871
igu	9785
cap	9615
dir	9587
mar	9473
ari	9452
arr	9371
nom	9358
rob	9358
ltr	9294
alg	8993
ble	8966
any	8877
tic	8849
ren	8835
emp	8826
cia	8818
ste	8704
eny	8699
ora	8659
reu	8493
mor	8486
inc	8477
pen	8445
has	8417
eur	8409
ers	8325
pos	8278
ntr	8269
llo	8254
seu	8224
tem	8199
lle	8150
aco	8068
mer	8035
spe	8025
int	8013
for	7938
nti	7879
nes	7859
rem	7818
rre	7802
gun	7754
via	7730
nci	7729
eus	7717
rar	7698
sar	7681
ere	7663
veu	7655
col	7519
mes	7515
sap	7499
teu	7462
gue	7427
bre	7384
tro	7349
one	7337
als	7325
nca	7315
ull	7304
omp	7278
ida	7259
ans	7256
gen	7254
cie	7231
arl	7217
ura	7182
dei	7159
sem	7157
aur	7144
nos	7138
sev	7111
ion	7097
ane	7084
cas	7033
ins	7011
bar	7007
lgu	7006
arà	7006
ixa	6976
ega	6936
ici	6911
mev	6859
can	6849
rad	6848
vin	6837
nse	6826
sal	6767
dre	6687
tam	6651
orn	6621
hom	6617
ets	6596
van	6590
ves	6574
nat	6544
ret	6448
ola	6441
omé	6435
ira	6435
nts	6435
aba	6428
ate	6414
err	6387
sit	6369
dia	6333
dor	6310
dar	6296
mal	6266
ixe	6240
avi	6217
ine	6179
ont	6148
sab	6142
unt	6127
mic	6100
reg	6086
art	6079
ave	6066
ert	6064
nsa	6055
hav	6048
yor	5987
nyo	5982
rti	5966
rit	5951
tim	5950
tit	5928
erd	5917
rat	5917
dem	5908
nit	5881
bon	5874
ats	5857
lor	5823
aré	5820
ses	5818
ner	5814
ven	5811
ces	5775
hau	5752
ect	5751
ata	5749
obr	5736
oba	5706
sco	5682
vos	5637
ors	5635
rqu	5633
vul	5620
ixí	5616
uin	5613
mir	5580
son	5566
pla	5551
oli	5545
lan	5539
ime	5520
mpr	5492
ndr	5485
end	5482
eta	5474
sor	5465
ode	5463
sat	5444
lls	5434
rie	5393
ema	5385
fin	5372
rna	5366
sóc	5365
ide	5360
àci	5356
mil	5344
lta	5335
fet	5316
gut	5311
ngu	5282
lic	5250
ien	5243
tal	5229
ols	5222
tir	5218
nen	5210
erq	5196
ece	5190
ori	5184
ena	5183
nec	5176
vis	5171
lli	5169
rac	5158
aca	5126
cio	5098
rei	5093
ado	5089
lit	5040
han	5029
nir	5021
ene	5019
sol	4994
ale	4994
asa	4993
rra	4987
rma	4966
dis	4941
puc	4939
len	4924
cla	4916
act	4906
emb	4891
sig	4890
tei	4873
rri	4848
ràc	4845
ban	4843
far	4831
ima	4822
mai	4816
tev	4806
den	4794
rla	4740
ade	4727
orm	4721
cal	4720
són	4718
imp	4718
grà	4663
sse	4609
ota	4586
tàs	4582
ami	4542
vas	4535
hem	4528
fic	4528
ire	4517
fil	4507
bla	4493
nys	4491
tav	4471
lem	4463
uri	4428
vid	4405
esa	4398
lia	4392
apa	4387
erm	4378
odr	4355
dit	4351
bat	4339
lau	4338
cab	4333
sca	4331
cam	4325
abe	4323
rim	4303
nya	4299
aga	4266
agr	4261
nvi	4257
reb	4234
gua	4224
ber	4185
ràs	4185
cte	4179
pel	4168
and	4125
noi	4114
dri	4105
pri	4087
aps	4086
ani	4077
déu	4058
cat	4018
cer	4017
cad	3969
mpo	3957
ger	3931
